,FC,labels,setting
345,1.797060889,modT-2 trend,0.7
346,1.798618556,modT-2 trend,0.7
347,1.799364,modT-2 trend,0.7
348,1.799364,modT-2 trend,0.7
349,1.799097222,modT-2 trend,0.7
350,1.992304222,modT-2 trend,0.8
351,2.012612222,modT-2 trend,0.8
352,2.026062111,modT-2 trend,0.8
353,2.027548111,modT-2 trend,0.8
354,2.033025556,modT-2 trend,0.8
355,2.038634889,modT-2 trend,0.8
356,2.038634889,modT-2 trend,0.8
357,2.041899889,modT-2 trend,0.8
358,2.042188444,modT-2 trend,0.8
359,2.042188444,modT-2 trend,0.8
360,2.042188444,modT-2 trend,0.8
361,2.043243111,modT-2 trend,0.8
362,2.045478222,modT-2 trend,0.8
363,2.045240778,modT-2 trend,0.8
364,2.048379444,modT-2 trend,0.8
365,2.048379444,modT-2 trend,0.8
366,2.048379444,modT-2 trend,0.8
367,2.046923778,modT-2 trend,0.8
368,2.045931222,modT-2 trend,0.8
369,2.045931222,modT-2 trend,0.8
370,2.055259111,modT-2 trend,0.8
371,2.049018778,modT-2 trend,0.8
372,2.048278333,modT-2 trend,0.8
373,2.048570333,modT-2 trend,0.8
374,2.048570333,modT-2 trend,0.8
375,2.049489333,modT-2 trend,0.8
376,2.050853,modT-2 trend,0.8
377,2.051358667,modT-2 trend,0.8
378,2.051312667,modT-2 trend,0.8
379,2.050584333,modT-2 trend,0.8
380,2.049122222,modT-2 trend,0.8
381,2.049122222,modT-2 trend,0.8
382,2.051527333,modT-2 trend,0.8
383,2.050790556,modT-2 trend,0.8
384,2.050790556,modT-2 trend,0.8
385,2.050790556,modT-2 trend,0.8
386,2.051354222,modT-2 trend,0.8
387,2.050786667,modT-2 trend,0.8
388,2.048996778,modT-2 trend,0.8
389,2.047693889,modT-2 trend,0.8
390,2.046672444,modT-2 trend,0.8
391,2.048753,modT-2 trend,0.8
392,2.050224333,modT-2 trend,0.8
393,2.049709444,modT-2 trend,0.8
394,2.051120111,modT-2 trend,0.8
395,2.052042889,modT-2 trend,0.8
396,2.052858889,modT-2 trend,0.8
397,2.052858889,modT-2 trend,0.8
398,2.051952,modT-2 trend,0.8
399,2.050762222,modT-2 trend,0.8
400,2.234541444,modT-2 trend,0.9
401,2.253187111,modT-2 trend,0.9
402,2.257909333,modT-2 trend,0.9
403,2.261503333,modT-2 trend,0.9
404,2.264345778,modT-2 trend,0.9
405,2.291696,modT-2 trend,0.9
406,2.298989444,modT-2 trend,0.9
407,2.298014111,modT-2 trend,0.9
408,2.298014111,modT-2 trend,0.9
409,2.303648111,modT-2 trend,0.9
410,2.307847222,modT-2 trend,0.9
411,2.306818,modT-2 trend,0.9
